Název;Kód;Kategorie
Západočeské muzeum v Plzni, příspěvková organizace;ORG-000184;organizace
Univerzita Karlova - Filozofická fakulta;ORG-000099;organizace
Národní zemědělské muzeum, s.p.o.;ORG-000202;organizace
Ústav archeologické památkové péče středních Čech, příspěvková organizace;ORG-000051;organizace
Ústav pro archeologii a dokumentaci památek, z. ú.;ORG-000005;organizace
Západočeská univerzita v Plzni - Filozofická fakulta;ORG-000100;organizace
ZIP o.p.s.;ORG-000042;organizace
Pueblo - archeologická společnost, o.p.s.;ORG-000029;organizace
Regionální muzeum K. A. Polánka v Žatci;ORG-000027;organizace
Vlastivědné muzeum v Šumperku, příspěvková organizace;ORG-000059;organizace
Muzeum města Brna, příspěvková organizace;ORG-000152;organizace
Hornické muzeum Příbram, příspěvková organizace;ORG-000189;organizace
Ostravské muzeum, příspěvková organizace;ORG-000197;organizace
Muzeum Novojičínska, příspěvková organizace;ORG-000177;organizace
Muzeum Mladoboleslavska, příspěvková organizace;ORG-000170;organizace
Vlastivědné muzeum Dr. Hostaše v Klatovech, příspěvková organizace;ORG-000140;organizace
Muzeum Cheb, příspěvková organizace Karlovarského kraje;ORG-000133;organizace
Muzeum regionu Boskovicka, příspěvková organizace;ORG-000119;organizace
Masarykova univerzita - Filozofická fakulta;ORG-000114;organizace
Jihočeská univerzita v Českých Budějovicích - Filozofická fakulta;ORG-000112;organizace
Archeologický ústav AV ČR, Praha, v. v. i.;ORG-000094;organizace
Ministerstvo obrany - Vojenský historický ústav Praha;ORG-000080;organizace
Univerzita Palackého v Olomouci - Filozofická fakulta;ORG-000079;organizace
Muzeum a galerie severního Plzeňska v Mariánské Týnici, příspěvková organizace;ORG-000150;organizace
Muzeum východních Čech v Hradci Králové;ORG-000132;organizace
Archeologická společnost, o.p.s. [zaniklé];ORG-000088;organizace
Muzeum Českého krasu, příspěvková organizace;ORG-000097;organizace
Muzeum Českého krasu, příspěvková organizace - pobočka Hořovice;ORG-000168;organizace
Muzeum Vysočiny Pelhřimov, příspěvková organizace;ORG-000198;organizace
Technické muzeum v Brně;ORG-000077;organizace
Správa Krkonošského národního parku - Krkonošské muzeum ve Vrchlabí;ORG-000017;organizace
Masarykova univerzita - Přírodovědecká fakulta;ORG-000116;organizace
Masarykova univerzita - Pedagogická fakulta;ORG-000115;organizace
Univerzita Karlova - Přírodověcká fakulta;ORG-000056;organizace
Ústav archeologické památkové péče severozápadních Čech, v. v. i.;ORG-000031;organizace
Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;ORG-000078;organizace
Syrakus, z.s.;ORG-000030;organizace
Národní památkový ústav - Generální ředitelství;ORG-000046;organizace
Národní památkový ústav - Územní odborné pracoviště v Brně;ORG-000071;organizace
Národní památkový ústav - Územní odborné pracoviště v Českých Budějovicích;ORG-000098;organizace
Národní památkový ústav - Územní odborné pracoviště v Josefově;ORG-000034;organizace
Národní památkový ústav - Územní odborné pracoviště v Kroměříži;ORG-000072;organizace
Národní památkový ústav - Územní odborné pracoviště v Liberci;ORG-000035;organizace
Národní památkový ústav - Územní odborné pracoviště v Lokti;ORG-000047;organizace
Národní památkový ústav - Územní odborné pracoviště v Olomouci;ORG-000074;organizace
Národní památkový ústav - Územní odborné pracoviště v Ostravě;ORG-000075;organizace
Národní památkový ústav - Územní odborné pracoviště v Pardubicích;ORG-000036;organizace
Národní památkový ústav - Územní odborné pracoviště v Plzni;ORG-000048;organizace
Národní památkový ústav - Územní odborné pracoviště v hl. městě Praze;ORG-000037;organizace
Národní památkový ústav - Územní odborné pracoviště středních Čech;ORG-000038;organizace
Národní památkový ústav - Územní odborné pracoviště v Telči;ORG-000039;organizace
Národní památkový ústav - Územní odborné pracoviště v Ústí nad Labem;ORG-000049;organizace
Naše historie z.s.;ORG-000054;organizace
Národní technické muzeum;ORG-000018;organizace
Okresní vlastivědné muzeum v Židlochovicích [zaniklé];ORG-000070;organizace
Město Ždánice - Vrbasovo muzeum;ORG-000068;organizace
Jihomoravské muzeum ve Znojmě, příspěvková organizace;ORG-000067;organizace
Archeologický ústav SAV;ORG-000082;organizace
Archeologický ústav ČSAV, pobočka Plzeň [zaniklé];ORG-000089;organizace
Archeologický ústav ČSAV, pobočka Most [zaniklé];ORG-000087;organizace
Muzeum jihovýchodní Moravy ve Zlíně, příspěvková organizace;ORG-000066;organizace
Muzeum Vyškovska, příspěvková organizace;ORG-000065;organizace
Regionální muzeum ve Vysokém Mýtě;ORG-000026;organizace
Muzeum regionu Valašsko, příspěvková organizace;ORG-000064;organizace
Město Volyně - Městské muzeum;ORG-000200;organizace
Muzeum Podblanicka, příspěvková organizace;ORG-000025;organizace
Město Velvary - Městské muzeum;ORG-000101;organizace
Kulturní a vzdělávací středisko - Městské muzeum Valašské Klobouky;ORG-000063;organizace
Oblastní muzeum v Ústí nad Labem, příspěvková organizace;ORG-000023;organizace
Městské kulturní zařízení Uničov;ORG-000045;organizace
Město Unhošť - Melicharovo vlastivědné muzeum;ORG-000062;organizace
Muzeum Jana Amose Komenského v Uherském Brodě;ORG-000061;organizace
Slovácké muzeum v Uherském Hradišti, příspěvková organizace;ORG-000060;organizace
Městské muzeum Týniště nad Orlicí [zaniklé];ORG-000095;organizace
Muzeum Českého ráje v Turnově, příspěvková organizace;ORG-000022;organizace
Muzeum Vysočiny Třebíč, příspěvková organizace;ORG-000057;organizace
Muzeum Podkrkonoší v Trutnově;ORG-000021;organizace
Regionální muzeum v Teplicích, příspěvková organizace;ORG-000020;organizace
Muzeum Českého lesa v Tachově, příspěvková organizace;ORG-000019;organizace
Husitské muzeum v Táboře;ORG-000044;organizace
Muzeum Šumavy Sušice, příspěvková organizace;ORG-000002;organizace
Městské muzeum ve Stříbře, příspěvková organizace;ORG-000016;organizace
Muzeum středního Pootaví Strakonice;ORG-000007;organizace
Zámek Slavkov - Austerlitz, příspěvková organizace;ORG-000058;organizace
Vlastivědné muzeum ve Slaném;ORG-000093;organizace
Městské muzeum Sedlčany, příspěvková organizace;ORG-000196;organizace
Městské muzeum Rýmařov, příspěvková organizace;ORG-000195;organizace
Muzeum a galerie Orlických hor v Rychnově nad Kněžnou;ORG-000194;organizace
Podřipské muzeum;ORG-000192;organizace
Západočeské muzeum v Plzni, příspěvková organizace - Muzeum Dr. Bohuslava Horáka v Rokycanech;ORG-000191;organizace
Muzeum T.G.M. Rakovník, příspěvková organizace;ORG-000190;organizace
Město Pyšely - Muzeum;ORG-000001;organizace
Muzeum Komenského v Přerově, příspěvková organizace;ORG-000188;organizace
Muzeum a galerie v Prostějově, příspěvková organizace;ORG-000187;organizace
Prachatické muzeum;ORG-000186;organizace
Polabské muzeum, příspěvková organizace;ORG-000185;organizace
Město Podbořany - Městské muzeum;ORG-000199;organizace
Prácheňské muzeum v Písku;ORG-000183;organizace
Východočeské muzeum v Pardubicích;ORG-000182;organizace
Městské muzeum Antonína Sovy v Pacově;ORG-000181;organizace
Slezské zemské muzeum;ORG-000180;organizace
Vlastivědné muzeum v Olomouci;ORG-000179;organizace
Polabské muzeum, příspěvková organizace - Vlastivědné muzeum Nymburk;ORG-000178;organizace
Klub kultury Napajedla, příspěvková organizace - Muzeum;ORG-000176;organizace
Muzeum Náchodska;ORG-000175;organizace
Oblastní muzeum a galerie v Mostě, příspěvková organizace;ORG-000174;organizace
Město Morkovice-Slížany - Košíkářské muzeum;ORG-000173;organizace
Kultura Moravský Krumlov - Městské muzeum;ORG-000172;organizace
Kulturní služby města Moravská Třebová - Městské muzeum;ORG-000171;organizace
Milevské muzeum;ORG-000154;organizace
Regionální muzeum v Mikulově, příspěvková organizace;ORG-000153;organizace
Obec Kvasice - Obecní muzeum;ORG-000145;organizace
Městské informační a kulturní středisko Krnov - Městské muzeum;ORG-000143;organizace
Městské kulturní středisko Kojetín, příspěvková organizace - Městské muzeum;ORG-000141;organizace
Kulturní zařízení Kadaň, příspěvková organizace - Městské muzeum;ORG-000073;organizace
Město Jevíčko - Městské muzeum;ORG-000158;organizace
Městská kulturní zařízení Hranice, příspěvková organizace - Muzeum a galerie;ORG-000163;organizace
Město Hořice - Městské muzeum a galerie;ORG-000004;organizace
Městské muzeum Horšovský Týn [zaniklé];ORG-000148;organizace
Městské kulturní středisko Holešov, příspěvková organizace - Městské muzeum a galerie;ORG-000131;organizace
Město Duchcov - Muzeum města Duchcova;ORG-000092;organizace
Město Bystřice nad Pernštejnem - Městské muzeum;ORG-000167;organizace
Regionální muzeum Mělník, příspěvková organizace;ORG-000151;organizace
Městské muzeum a galerie Mariánské Lázně, příspěvková organizace;ORG-000162;organizace
Oblastní muzeum v Lounech, příspěvková organizace;ORG-000149;organizace
Regionální muzeum v Litomyšli;ORG-000155;organizace
Oblastní muzeum v Litoměřicích, příspěvková organizace;ORG-000009;organizace
Severočeské muzeum v Liberci, příspěvková organizace;ORG-000147;organizace
Masarykovo muzeum v Hodoníně, příspěvková organizace - Vlastivědné muzeum Kyjov;ORG-000146;organizace
České muzeum stříbra, příspěvková organizace;ORG-000165;organizace
Muzeum Kroměřížska, příspěvková organizace;ORG-000144;organizace
Městské muzeum v Kralupech nad Vltavou;ORG-000161;organizace
Regionální muzeum v Kolíně, příspěvková organizace;ORG-000142;organizace
Sládečkovo vlastivědné muzeum v Kladně, příspěvková organizace;ORG-000160;organizace
Muzeum Karlovy Vary, příspěvková organizace Karlovarského kraje;ORG-000139;organizace
Muzeum Jindřichohradecka;ORG-000138;organizace
Regionální muzeum v Jílovém u Prahy, příspěvková organizace;ORG-000159;organizace
Muzeum Vysočiny Jihlava, příspěvková organizace;ORG-000137;organizace
Regionální muzeum a galerie v Jičíně;ORG-000136;organizace
Muzeum skla a bižuterie v Jablonci nad Nisou;ORG-000157;organizace
Regionální muzeum v Chrudimi;ORG-000135;organizace
Oblastní muzeum v Chomutově, příspěvková organizace;ORG-000134;organizace
Orlické muzeum v Chocni;ORG-000069;organizace
Regionální muzeum v Kolíně, příspěvková organizace - Podlipanské muzeum v Českém Brodě;ORG-000169;organizace
Masarykovo muzeum v Hodoníně, příspěvková organizace;ORG-000130;organizace
Muzeum hlavního města Prahy;ORG-000129;organizace
Muzeum Chodska v Domažlicích, příspěvková organizace;ORG-000127;organizace
Oblastní muzeum v Děčíně, příspěvková organizace;ORG-000164;organizace
Muzeum Těšínska, příspěvková organizace;ORG-000156;organizace
Regionální muzeum v Českém Krumlově;ORG-000126;organizace
Jihočeské muzeum v Českých Budějovicích;ORG-000125;organizace
Vlastivědné muzeum a galerie v České Lípě, příspěvková organizace;ORG-000124;organizace
Městské muzeum v Čelákovicích, příspěvková organizace;ORG-000123;organizace
Městské muzeum a galerie Břeclav, příspěvková organizace;ORG-000166;organizace
Městské muzeum a knihovna Čáslav;ORG-000122;organizace
Muzeum Beskyd Frýdek-Místek, příspěvková organizace;ORG-000096;organizace
Moravské zemské muzeum;ORG-000113;organizace
Geologický ústav AV ČR, v. v. i.;ORG-000084;organizace
Muzeum Brněnska, příspěvková organizace;ORG-000121;organizace
Oblastní muzeum Praha - východ, příspěvková organizace;ORG-000120;organizace
Muzeum Bojkovska, příspěvková organizace;ORG-000118;organizace
Muzeum jižního Plzeňska v Blovicích, příspěvková organizace;ORG-000117;organizace
Muzeum Blanenska, příspěvková organizace;ORG-000008;organizace
Archeologický ústav AV ČR, Brno, v. v. i. - detašované pracoviště Opava;ORG-000086;organizace
Archeologický ústav AV ČR, Brno, v. v. i. - detašované pracoviště Mikulčice;ORG-000110;organizace
Archeologický ústav AV ČR, Brno, v. v. i. - detašované pracoviště Dolní Věstonice;ORG-000109;organizace
Archeologický ústav AV ČR, Brno, v. v. i. - detašované pracoviště Dolní Dunajovice;ORG-000108;organizace
Archeologický ústav AV ČR, Brno, v. v. i.;ORG-000107;organizace
ArcheoBohemia, o.p.s. [zaniklé];ORG-000105;organizace
Česká společnost archeologická, z. ú.;ORG-000111;organizace
Archeos, z.s.;ORG-000090;organizace
Archeologické centrum Olomouc, příspěvková organizace;ORG-000106;organizace
ARCHEOCENTRUM  - Institut pro archeologii a památkovou péči středních Čech o.p.s.;ORG-000083;organizace
Archeo Sever o.p.s.;ORG-000104;organizace
Archeo Pro o.p.s.;ORG-000010;organizace
ARCHAIA Praha z.ú.;ORG-000041;organizace
ARCHAIA Jih o.p.s.;ORG-000040;organizace
ARCHAIA Brno z. ú.;ORG-000103;organizace
ARCHAIA, z.ú.;ORG-000076;organizace
Archaia Olomouc z.ú.;ORG-000053;organizace
[orgán veřejné moci];ORG-000003;organizace
Univerzita Hradec Králové - Filozofická fakulta;ORG-000052;organizace
Slezská univerzita v Opavě - Filozoficko-přírodovědecká fakulta;ORG-000050;organizace
Národní muzeum;ORG-000028;organizace
Muzeum Bílina, detašované pracoviště Regionálního muzea v Teplicích [zaniklé];ORG-000091;organizace
Labrys, o.p.s.;ORG-000085;organizace
Komise pro výzkum Vyšehradu [zaniklé];ORG-000006;organizace
ARCHA 13 o.p.s.;ORG-000102;organizace
[sekundární zdroj];ORG-000055;organizace
[zahraniční badatel/expedice];ORG-000014;organizace
[jiná organizace];ORG-000043;organizace
[neurčená/nejasná organizace];ORG-000012;organizace
[amaterský archeolog/zájemce];ORG-000011;organizace
[archeolog mimo organizaci];ORG-000013;organizace
Archaia Příchovice [zaniklé];ORG-000015;organizace
Znojmo;Znojmo;okres
