Název;Kód;Kategorie
Domažličky;Domažličky;katastr
Městec nad Dědinou;Městec nad Dědinou;katastr
Ovesné Kladruby;Ovesné Kladruby;katastr
Starý Mateřov;Starý Mateřov;katastr
Vikantice;Vikantice;katastr
Hrobičany;Hrobičany;katastr
Nebesa;Nebesa;katastr
Těšice u Nezamyslic;Těšice u Nezamyslic;katastr
Stéblovice;Stéblovice;katastr
Vědomice;Vědomice;katastr
Bílý Kámen;Bílý Kámen;katastr
Podhorní Újezd;Podhorní Újezd;katastr
Hlasivo;Hlasivo;katastr
Bukovany u Sokolova;Bukovany u Sokolova;katastr
Huntířov;Huntířov;katastr
Křepice u Vodňan;Křepice u Vodňan;katastr
Kostelec nad Orlicí;Kostelec nad Orlicí;katastr
Domašov u Jeseníka;Domašov u Jeseníka;katastr
Krasoňov;Krasoňov;katastr
Bukovice u Rohozce;Bukovice u Rohozce;katastr
Pavlův Studenec 3;Pavlův Studenec 3;katastr
Rohozná u Poličky;Rohozná u Poličky;katastr
Dolní Paseky;Dolní Paseky;katastr
Levín u Lišova;Levín u Lišova;katastr
Žerůtky u Znojma;Žerůtky u Znojma;katastr
Ostroh;Ostroh;katastr
Krásensko;Krásensko;katastr
Branka u Tachova;Branka u Tachova;katastr
Nové Dvory u Doksan;Nové Dvory u Doksan;katastr
Zvěřínek;Zvěřínek;katastr
Dolní Miletín;Dolní Miletín;katastr
Želetice u Znojma;Želetice u Znojma;katastr
Stříbrnice;Stříbrnice;katastr
Stod;Stod;katastr
Petrovice u Nového Bydžova;Petrovice u Nového Bydžova;katastr
Kučeř;Kučeř;katastr
Lhotka u Třebče;Lhotka u Třebče;katastr
Svrabov;Svrabov;katastr
Kluky u Čáslavi;Kluky u Čáslavi;katastr
Částkovice;Částkovice;katastr
Brusov;Brusov;katastr
Výškovice u Slatiny;Výškovice u Slatiny;katastr
Sekeřice;Sekeřice;katastr
Terezín u Čejče;Terezín u Čejče;katastr
Rodkov;Rodkov;katastr
Rejvíz;Rejvíz;katastr
Hodonín u Nasavrk;Hodonín u Nasavrk;katastr
Vrážná;Vrážná;katastr
Nové Dvory u Dobříše;Nové Dvory u Dobříše;katastr
Výšina;Výšina;katastr
Lomy u Osečnice;Lomy u Osečnice;katastr
Pohořílky u Kujav;Pohořílky u Kujav;katastr
Lanžhot;Lanžhot;katastr
Častonín;Častonín;katastr
Káraný;Káraný;katastr
Bolechovice II;Bolechovice II;katastr
Jabkenice;Jabkenice;katastr
Polná u Hazlova;Polná u Hazlova;katastr
Koloděje nad Lužnicí;Koloděje nad Lužnicí;katastr
Přeštice;Přeštice;katastr
Brloh;Brloh;katastr
Rašovice u Kalovic;Rašovice u Kalovic;katastr
Strachujov;Strachujov;katastr
Nořín;Nořín;katastr
Věkoše;Věkoše;katastr
Kuní;Kuní;katastr
Dolní Maxov;Dolní Maxov;katastr
Trčkov;Trčkov;katastr
Vítkovice;Vítkovice;katastr
Slatina u Bílovce;Slatina u Bílovce;katastr
Vlčetín;Vlčetín;katastr
Strážkovice;Strážkovice;katastr
Lidmovice;Lidmovice;katastr
Čáslavsko;Čáslavsko;katastr
Břvany;Břvany;katastr
Jenčice;Jenčice;katastr
Miřenice;Miřenice;katastr
Těmice u Kamenice nad Lipou;Těmice u Kamenice nad Lipou;katastr
Dolní Jirčany;Dolní Jirčany;katastr
Skalka u Chebu;Skalka u Chebu;katastr
Chotětov;Chotětov;katastr
Plchov;Plchov;katastr
Horka u Staré Paky;Horka u Staré Paky;katastr
Suchohrdly u Miroslavi;Suchohrdly u Miroslavi;katastr
Dobříč u Prahy;Dobříč u Prahy;katastr
Hodice;Hodice;katastr
Újezdec u Hořiček;Újezdec u Hořiček;katastr
Horní Lažany u Lesonic;Horní Lažany u Lesonic;katastr
Tábor;Tábor;katastr
Vintířov u Radonic;Vintířov u Radonic;katastr
Chrámce;Chrámce;katastr
Plzeň 4;Plzeň 4;katastr
Řehnice;Řehnice;katastr
Blízkov;Blízkov;katastr
Proseč u Březiny;Proseč u Březiny;katastr
Hlubočky III;Hlubočky III;katastr
Skrochovice;Skrochovice;katastr
Nová Brtnice;Nová Brtnice;katastr
Kamenná Lhota u Čestína;Kamenná Lhota u Čestína;katastr
Zderadiny;Zderadiny;katastr
Pobistrýce;Pobistrýce;katastr
Jadrná;Jadrná;katastr
Suché Lazce;Suché Lazce;katastr
Bílov;Bílov;katastr
Rohozná u Jihlavy;Rohozná u Jihlavy;katastr
Srby nad Úslavou;Srby nad Úslavou;katastr
Háj u Vintířova;Háj u Vintířova;katastr
Kostomlátky;Kostomlátky;katastr
Josefův Důl u Mladé Boleslavi;Josefův Důl u Mladé Boleslavi;katastr
Strážiště u Mladotic;Strážiště u Mladotic;katastr
Halže;Halže;katastr
Újezd nad Zbečnem;Újezd nad Zbečnem;katastr
Karviná-Doly;Karviná-Doly;katastr
Velké Vrbno;Velké Vrbno;katastr
Štěchov;Štěchov;katastr
Bratříkovice;Bratříkovice;katastr
Kanice u Petrovic;Kanice u Petrovic;katastr
Kluk;Kluk;katastr
Tisová u Sokolova;Tisová u Sokolova;katastr
Trnové Pole;Trnové Pole;katastr
Střemchoví;Střemchoví;katastr
Kondrač;Kondrač;katastr
Rantířov;Rantířov;katastr
Zábřezí;Zábřezí;katastr
Mnichov u Mariánských Lázní;Mnichov u Mariánských Lázní;katastr
Chlumín;Chlumín;katastr
Zběšičky;Zběšičky;katastr
Dolní Bušínov;Dolní Bušínov;katastr
Desná u Litomyšle;Desná u Litomyšle;katastr
Horní Dehtov;Horní Dehtov;katastr
Čepí;Čepí;katastr
Koubalova Lhota;Koubalova Lhota;katastr
Hradiště;Hradiště;katastr
Jankov u Českých Budějovic;Jankov u Českých Budějovic;katastr
Košetice;Košetice;katastr
Luka u Verušiček;Luka u Verušiček;katastr
Křižanov u Branic;Křižanov u Branic;katastr
Chvalčova Lhota;Chvalčova Lhota;katastr
Baliny;Baliny;katastr
Křížovice;Křížovice;katastr
Psinice;Psinice;katastr
Zahrádka u Benešova;Zahrádka u Benešova;katastr
Lužná u Rakovníka;Lužná u Rakovníka;katastr
Červený Újezdec;Červený Újezdec;katastr
Kubšice;Kubšice;katastr
Okrouhlice;Okrouhlice;katastr
Nezdenice;Nezdenice;katastr
Chvoječná;Chvoječná;katastr
Chotutice;Chotutice;katastr
Lukov u Úštěku;Lukov u Úštěku;katastr
Hlubočky I;Hlubočky I;katastr
Samšina;Samšina;katastr
Souňov;Souňov;katastr
Zvírotice;Zvírotice;katastr
Bražná;Bražná;katastr
Sázava u Davle;Sázava u Davle;katastr
Dolní Lutyně;Dolní Lutyně;katastr
Ústaleč;Ústaleč;katastr
Mostiště u Velkého Meziříčí;Mostiště u Velkého Meziříčí;katastr
Děrné;Děrné;katastr
Boreček;Boreček;katastr
Kamenný Újezd;Kamenný Újezd;katastr
Žebrákov u Světlé nad Sázavou;Žebrákov u Světlé nad Sázavou;katastr
Úval;Úval;katastr
Kozlany u Vyškova;Kozlany u Vyškova;katastr
Stará Voda u Mariánských Lázní;Stará Voda u Mariánských Lázní;katastr
Studánka u Rumburku;Studánka u Rumburku;katastr
Slavošovice u Lišova;Slavošovice u Lišova;katastr
Nová Lhota;Nová Lhota;katastr
Příčina;Příčina;katastr
Jiřice;Jiřice;katastr
Kolšov;Kolšov;katastr
Libětice;Libětice;katastr
Bukovno;Bukovno;katastr
Skály u Rýmařova;Skály u Rýmařova;katastr
Kobylí;Kobylí;katastr
Podivice na Moravě;Podivice na Moravě;katastr
Lažišťka;Lažišťka;katastr
Chudíř;Chudíř;katastr
Horoměřice;Horoměřice;katastr
Kosobody;Kosobody;katastr
Myslejovice;Myslejovice;katastr
Hostišovice;Hostišovice;katastr
Komořany na Moravě;Komořany na Moravě;katastr
Piskořov;Piskořov;katastr
Drštěkryje;Drštěkryje;katastr
Horní Údolí;Horní Údolí;katastr
Zadražany;Zadražany;katastr
Kostelec nad Vltavou;Kostelec nad Vltavou;katastr
Kouřim;Kouřim;katastr
Holašovice;Holašovice;katastr
Skryje u Golčova Jeníkova;Skryje u Golčova Jeníkova;katastr
Salajna;Salajna;katastr
Chudoslavice;Chudoslavice;katastr
Dolní Rožínka;Dolní Rožínka;katastr
Domoradice;Domoradice;katastr
Vejprty;Vejprty;katastr
Horní Stakory;Horní Stakory;katastr
Chotouchov;Chotouchov;katastr
Zduchovice;Zduchovice;katastr
Mladotice u Kraselova;Mladotice u Kraselova;katastr
Bezděčín;Bezděčín;katastr
Jesenice u Rakovníka;Jesenice u Rakovníka;katastr
Koukolná;Koukolná;katastr
Běchovice;Běchovice;katastr
Světlá u Šebetova;Světlá u Šebetova;katastr
Vícov;Vícov;katastr
Věšťany;Věšťany;katastr
Záboří u Protivína;Záboří u Protivína;katastr
Březová u Sokolova;Březová u Sokolova;katastr
Třemošnice;Třemošnice;katastr
Mrzkovice;Mrzkovice;katastr
Brloh u Drhovle;Brloh u Drhovle;katastr
Mukoděly;Mukoděly;katastr
Jistebník;Jistebník;katastr
Zahrádka na Moravě;Zahrádka na Moravě;katastr
Milíře u Rovné;Milíře u Rovné;katastr
Nepoměřice;Nepoměřice;katastr
Žaltice;Žaltice;katastr
Újezdec u Rakovníka;Újezdec u Rakovníka;katastr
Stěbořice;Stěbořice;katastr
Odrava;Odrava;katastr
Ježkovice;Ježkovice;katastr
Vídeň;Vídeň;katastr
Nová Ves u Ostravy;Nová Ves u Ostravy;katastr
Rudoltice u Lanškrouna;Rudoltice u Lanškrouna;katastr
Liptaň;Liptaň;katastr
Kluky u Písku;Kluky u Písku;katastr
Mláka;Mláka;katastr
Hvězda u Chudenína;Hvězda u Chudenína;katastr
Panenská;Panenská;katastr
Svažec;Svažec;katastr
Tuchomyšl;Tuchomyšl;katastr
Chlébské;Chlébské;katastr
Lhota u Pecky;Lhota u Pecky;katastr
Vojničky;Vojničky;katastr
Sudoměřice;Sudoměřice;katastr
Ostružno u Jičína;Ostružno u Jičína;katastr
Býšť;Býšť;katastr
Radihošť;Radihošť;katastr
Libouň;Libouň;katastr
Láz;Láz;katastr
Bačkovice;Bačkovice;katastr
Číňov;Číňov;katastr
Břehov;Břehov;katastr
Vrbovec;Vrbovec;katastr
Radostín u Vojnova Městce;Radostín u Vojnova Městce;katastr
Svémyslice;Svémyslice;katastr
Vilémov u Kadaně;Vilémov u Kadaně;katastr
Zbožíčko;Zbožíčko;katastr
Hranice;Hranice;katastr
Klepáčov;Klepáčov;katastr
Bohuslavice u Zlína;Bohuslavice u Zlína;katastr
Vítkov;Vítkov;katastr
Nová Paka;Nová Paka;katastr
Rajchéřov;Rajchéřov;katastr
Tažovice;Tažovice;katastr
Drahelčice;Drahelčice;katastr
Malé Číčovice;Malé Číčovice;katastr
Bystřička II;Bystřička II;katastr
Kojčice;Kojčice;katastr
Fořt;Fořt;katastr
Velká Bíteš;Velká Bíteš;katastr
Svitávka;Svitávka;katastr
Velké Hoštice;Velké Hoštice;katastr
Lobendava;Lobendava;katastr
Dolní Bukovsko;Dolní Bukovsko;katastr
Bystřice pod Lopeníkem;Bystřice pod Lopeníkem;katastr
Soběhrdy;Soběhrdy;katastr
Nový Kostel;Nový Kostel;katastr
Makolusky;Makolusky;katastr
Košíkov;Košíkov;katastr
Lhotky u Velkého Meziříčí;Lhotky u Velkého Meziříčí;katastr
Hvozdečko;Hvozdečko;katastr
Zarazice;Zarazice;katastr
Boleslav;Boleslav;katastr
Svéraz u Větřní;Svéraz u Větřní;katastr
Všechlapy u Nymburka;Všechlapy u Nymburka;katastr
Nová Ves u Mladé Vožice;Nová Ves u Mladé Vožice;katastr
Horní Újezd;Horní Újezd;katastr
Telnice u Brna;Telnice u Brna;katastr
Jičina;Jičina;katastr
Moravská Ostrava;Moravská Ostrava;katastr
Štěpánovice u Jaroměřic nad Rokytnou;Štěpánovice u Jaroměřic nad Rokytnou;katastr
Bezděkovec;Bezděkovec;katastr
Heřmanice v Podještědí;Heřmanice v Podještědí;katastr
Klášter u Nepomuka;Klášter u Nepomuka;katastr
Třebějice;Třebějice;katastr
Mšeno;Mšeno;katastr
Zelčín;Zelčín;katastr
Žárovná;Žárovná;katastr
Český Těšín;Český Těšín;katastr
Skaličany;Skaličany;katastr
Březno u Postoloprt;Březno u Postoloprt;katastr
Chuchel;Chuchel;katastr
Česká Rybná;Česká Rybná;katastr
Talmberk;Talmberk;katastr
Chrášťany u Benešova;Chrášťany u Benešova;katastr
Rozdělov;Rozdělov;katastr
Horní Slivno;Horní Slivno;katastr
Dolní Pelhřimov;Dolní Pelhřimov;katastr
Vračkovice;Vračkovice;katastr
Sedlečko u Soběslavě;Sedlečko u Soběslavě;katastr
Břežany u Znojma;Břežany u Znojma;katastr
Chrástov;Chrástov;katastr
Jeseník nad Odrou;Jeseník nad Odrou;katastr
Stodůlky;Stodůlky;katastr
Velký Karlov;Velký Karlov;katastr
Bukovina u Přelouče;Bukovina u Přelouče;katastr
Nížebohy;Nížebohy;katastr
Vestec nad Mrlinou;Vestec nad Mrlinou;katastr
Hrzín u Nového Kostela;Hrzín u Nového Kostela;katastr
Klimentov;Klimentov;katastr
Dubec;Dubec;katastr
Knihy;Knihy;katastr
Mítov;Mítov;katastr
Český Krumlov;Český Krumlov;katastr
Vizovice;Vizovice;katastr
Šmolovy u Havlíčkova Brodu;Šmolovy u Havlíčkova Brodu;katastr
Březina u Křtin;Březina u Křtin;katastr
Vidnava;Vidnava;katastr
Lipová u Šluknova;Lipová u Šluknova;katastr
Kvasetice;Kvasetice;katastr
Hoděmyšl;Hoděmyšl;katastr
Komorovice;Komorovice;katastr
Bezděkov u Třemešného;Bezděkov u Třemešného;katastr
Chanovice;Chanovice;katastr
Blahousty;Blahousty;katastr
Žitovlice;Žitovlice;katastr
Malé Karlovice;Malé Karlovice;katastr
Uhersko;Uhersko;katastr
Kobeřice u Brna;Kobeřice u Brna;katastr
Bohučovice;Bohučovice;katastr
Česká Skalice;Česká Skalice;katastr
Bulovka;Bulovka;katastr
Dolní Stakory;Dolní Stakory;katastr
Laby;Laby;katastr
Horní Střítež;Horní Střítež;katastr
Hostějov;Hostějov;katastr
Trhonice;Trhonice;katastr
Racov;Racov;katastr
Dolní Libchavy;Dolní Libchavy;katastr
Všestary;Všestary;katastr
Záhoří u Větřní;Záhoří u Větřní;katastr
Mnichovice;Mnichovice;katastr
Bukvice u Trhových Svinů;Bukvice u Trhových Svinů;katastr
Pulkava;Pulkava;katastr
Káranice;Káranice;katastr
Vilémov u Litovle;Vilémov u Litovle;katastr
Semín;Semín;katastr
Rašovy;Rašovy;katastr
Tachov;Tachov;katastr
Staré Ždánice;Staré Ždánice;katastr
Mezilesí u Lanškrouna;Mezilesí u Lanškrouna;katastr
Brod nad Labem;Brod nad Labem;katastr
Zdiby;Zdiby;katastr
Vápenice u Vysokého Chlumce;Vápenice u Vysokého Chlumce;katastr
Miličín;Miličín;katastr
Strunkovice nad Blanicí;Strunkovice nad Blanicí;katastr
Žežice u Chuderova;Žežice u Chuderova;katastr
Jeviněves;Jeviněves;katastr
Martinice u Holešova;Martinice u Holešova;katastr
Hodějov;Hodějov;katastr
Staré Oldřůvky;Staré Oldřůvky;katastr
Kobylničky;Kobylničky;katastr
Horní Dolce;Horní Dolce;katastr
Brozany nad Labem;Brozany nad Labem;katastr
Pleče;Pleče;katastr
Dolní Boříkovice;Dolní Boříkovice;katastr
Světí;Světí;katastr
Sychrov nad Jizerou;Sychrov nad Jizerou;katastr
Dolní Folmava;Dolní Folmava;katastr
Trhové Sviny;Trhové Sviny;katastr
Prosiměřice;Prosiměřice;katastr
Trhový Štěpánov;Trhový Štěpánov;katastr
Božetice;Božetice;katastr
Čistá u Rakovníka;Čistá u Rakovníka;katastr
Sezimovo Ústí;Sezimovo Ústí;katastr
Klášterec;Klášterec;katastr
Chelčice;Chelčice;katastr
Skupice u Postoloprt;Skupice u Postoloprt;katastr
Jamnice;Jamnice;katastr
Dráchov u Těmic;Dráchov u Těmic;katastr
Krychnov;Krychnov;katastr
Potočná u Vernéřova;Potočná u Vernéřova;katastr
Kejžlice;Kejžlice;katastr
Čakov u Českých Budějovic;Čakov u Českých Budějovic;katastr
Stradouň;Stradouň;katastr
Rousínov u Vyškova;Rousínov u Vyškova;katastr
Chvalčov;Chvalčov;katastr
Opočno pod Orlickými horami;Opočno pod Orlickými horami;katastr
Popovice u Brandýsa nad Labem;Popovice u Brandýsa nad Labem;katastr
Klopotovice;Klopotovice;katastr
Jimramov;Jimramov;katastr
Olší u Telče;Olší u Telče;katastr
Pilínkov;Pilínkov;katastr
Dražičky;Dražičky;katastr
Dolní Krupá u Mnichova Hradiště;Dolní Krupá u Mnichova Hradiště;katastr
Nízká Lhota;Nízká Lhota;katastr
Vlastkovec;Vlastkovec;katastr
Opatovice u Vyškova;Opatovice u Vyškova;katastr
Stodůlky u Strážného;Stodůlky u Strážného;katastr
Hracholusky nade Mží;Hracholusky nade Mží;katastr
Modřany;Modřany;katastr
Nová Ves u Hříškova;Nová Ves u Hříškova;katastr
Loučky u Zátoru;Loučky u Zátoru;katastr
Žabonosy;Žabonosy;katastr
Svídnice u Kostelce nad Orlicí;Svídnice u Kostelce nad Orlicí;katastr
Dalečín;Dalečín;katastr
Blížňovice;Blížňovice;katastr
Petrkov;Petrkov;katastr
Zádolí u Neveklova;Zádolí u Neveklova;katastr
Trpísty;Trpísty;katastr
Těchlovice u Stříbra;Těchlovice u Stříbra;katastr
Zvěrotice;Zvěrotice;katastr
Nová Seninka;Nová Seninka;katastr
Křemačov;Křemačov;katastr
Jarošov u Litomyšle;Jarošov u Litomyšle;katastr
Trpík;Trpík;katastr
Tři Sekery u Tachova;Tři Sekery u Tachova;katastr
Stará Oleška;Stará Oleška;katastr
Cetoraz;Cetoraz;katastr
Záluží u Třemošné;Záluží u Třemošné;katastr
Vrbice nad Odrou;Vrbice nad Odrou;katastr
Kletečná u Humpolce;Kletečná u Humpolce;katastr
Mušov;Mušov;katastr
Klučov u Českého Brodu;Klučov u Českého Brodu;katastr
Hradečná u Bílé Lhoty;Hradečná u Bílé Lhoty;katastr
Mrsklesy na Moravě I;Mrsklesy na Moravě I;katastr
Šachotín;Šachotín;katastr
Bravantice;Bravantice;katastr
Radkov u Moravské Třebové;Radkov u Moravské Třebové;katastr
Tušimice;Tušimice;katastr
Mělnické Vtelno;Mělnické Vtelno;katastr
Luštěnice;Luštěnice;katastr
Silnice;Silnice;katastr
Hanov;Hanov;katastr
Tichonice;Tichonice;katastr
Krátká Ves;Krátká Ves;katastr
Černá v Pošumaví;Černá v Pošumaví;katastr
Vysoká ve Slezsku;Vysoká ve Slezsku;katastr
Chrášťany u Českého Brodu;Chrášťany u Českého Brodu;katastr
Služátky u Pelhřimova;Služátky u Pelhřimova;katastr
Chlum;Chlum;katastr
Dlouhá Třebová;Dlouhá Třebová;katastr
České Petrovice;České Petrovice;katastr
Boješice;Boješice;katastr
Zvěřenice;Zvěřenice;katastr
Chrtníky;Chrtníky;katastr
Sviňomazy;Sviňomazy;katastr
Křivousy;Křivousy;katastr
Vítkov u Štěkně;Vítkov u Štěkně;katastr
Radětín;Radětín;katastr
Záluží u Budislavě;Záluží u Budislavě;katastr
Petrovice u Moravského Krumlova;Petrovice u Moravského Krumlova;katastr
Babice u Okrouhlice;Babice u Okrouhlice;katastr
Slavičín;Slavičín;katastr
Horní Cazov;Horní Cazov;katastr
Vračovice;Vračovice;katastr
Doksany;Doksany;katastr
Michalovy Hory;Michalovy Hory;katastr
Šeborov;Šeborov;katastr
Staré Čívice;Staré Čívice;katastr
Malá Chuchle;Malá Chuchle;katastr
Lučina u Nemanic;Lučina u Nemanic;katastr
Krchleby u Kostelce nad Orlicí;Krchleby u Kostelce nad Orlicí;katastr
Jakartovice;Jakartovice;katastr
Petrovice u Jihlavy;Petrovice u Jihlavy;katastr
Krásný Les u Frýdlantu;Krásný Les u Frýdlantu;katastr
Houska;Houska;katastr
Laziště;Laziště;katastr
Kraselov;Kraselov;katastr
Bezděkov u Damnova;Bezděkov u Damnova;katastr
Hořovičky;Hořovičky;katastr
Drahotuše;Drahotuše;katastr
Čánka;Čánka;katastr
Dolní Dlužiny;Dolní Dlužiny;katastr
Kožlí u Čížové;Kožlí u Čížové;katastr
Břehoryje;Břehoryje;katastr
Nová Ves nad Nisou;Nová Ves nad Nisou;katastr
Blanice;Blanice;katastr
Dolní Vysoké I;Dolní Vysoké I;katastr
Kosov;Kosov;katastr
Březí u Osové Bítýšky;Březí u Osové Bítýšky;katastr
Opavice;Opavice;katastr
Pustá Kamenice;Pustá Kamenice;katastr
Zelený Háj;Zelený Háj;katastr
Slatina u Františkových Lázní;Slatina u Františkových Lázní;katastr
Malý Bor;Malý Bor;katastr
Rájov;Rájov;katastr
Kosova Hora;Kosova Hora;katastr
Kříženec;Kříženec;katastr
Kytlické Mlýny;Kytlické Mlýny;katastr
Karlík;Karlík;katastr
Očín;Očín;katastr
Hlubočky IV;Hlubočky IV;katastr
Božetín;Božetín;katastr
Kojetín u Starého Jičína;Kojetín u Starého Jičína;katastr
Bohouňovice II;Bohouňovice II;katastr
Komárovice u Moravských Budějovic;Komárovice u Moravských Budějovic;katastr
Klenčí pod Čerchovem;Klenčí pod Čerchovem;katastr
Havlovice;Havlovice;katastr
Hradec nad Moravicí;Hradec nad Moravicí;katastr
Bordovice;Bordovice;katastr
Kyjov u Krásné Lípy;Kyjov u Krásné Lípy;katastr
Mileč;Mileč;katastr
Nebužely;Nebužely;katastr
Vodslivy;Vodslivy;katastr
Lhota u Stříbra;Lhota u Stříbra;katastr
Smilkov;Smilkov;katastr
Lány u Kostomlat nad Labem;Lány u Kostomlat nad Labem;katastr
Kozov;Kozov;katastr
Moravské Knínice;Moravské Knínice;katastr
Sovolusky u Přelouče;Sovolusky u Přelouče;katastr
Nová Zhoř;Nová Zhoř;katastr
Velká Střelná;Velká Střelná;katastr
Bystřice nad Pernštejnem;Bystřice nad Pernštejnem;katastr
Nová Ves u Chotěboře;Nová Ves u Chotěboře;katastr
Janovice u Nového Jičína;Janovice u Nového Jičína;katastr
Velká Černoc;Velká Černoc;katastr
Louka u Ostrohu;Louka u Ostrohu;katastr
Nové Vrbno;Nové Vrbno;katastr
Ústí u Staré Paky;Ústí u Staré Paky;katastr
Loděnice;Loděnice;katastr
Lány u Dašic;Lány u Dašic;katastr
Ostředek;Ostředek;katastr
Huntířov u Děčína;Huntířov u Děčína;katastr
Horní Plezom;Horní Plezom;katastr
Milíkov u Mariánských Lázní;Milíkov u Mariánských Lázní;katastr
Těchařovice;Těchařovice;katastr
Loukovec;Loukovec;katastr
Dlouhý Újezd;Dlouhý Újezd;katastr
Borek u Chotěboře;Borek u Chotěboře;katastr
Hříškov;Hříškov;katastr
Žítková;Žítková;katastr
Bohouňovice I;Bohouňovice I;katastr
Kloboučky;Kloboučky;katastr
Štemplovec;Štemplovec;katastr
Babín;Babín;katastr
Horní Kostelec;Horní Kostelec;katastr
Určice;Určice;katastr
Libice nad Doubravou;Libice nad Doubravou;katastr
Opočínek;Opočínek;katastr
Mohuřice;Mohuřice;katastr
Mitrov u Uhlířských Janovic;Mitrov u Uhlířských Janovic;katastr
Židněves;Židněves;katastr
Lhota pod Horami;Lhota pod Horami;katastr
Háje;Háje;katastr
Doubrava u Kostomlat nad Labem;Doubrava u Kostomlat nad Labem;katastr
Svatoňovice;Svatoňovice;katastr
Vranovská Ves;Vranovská Ves;katastr
Doudleby nad Orlicí;Doudleby nad Orlicí;katastr
Vevčice;Vevčice;katastr
Staré Město pod Králickým Sněžníkem;Staré Město pod Králickým Sněžníkem;katastr
Nové Oldřůvky I;Nové Oldřůvky I;katastr
Miroslav;Miroslav;katastr
Kladina;Kladina;katastr
Turovka;Turovka;katastr
Trotina;Trotina;katastr
Bernartice u Milevska;Bernartice u Milevska;katastr
Řepešín;Řepešín;katastr
Štěkeň;Štěkeň;katastr
Střemily;Střemily;katastr
Nová Ves u Chýnova;Nová Ves u Chýnova;katastr
České Žleby;České Žleby;katastr
Svatoslav nad Jihlavou;Svatoslav nad Jihlavou;katastr
Řípec;Řípec;katastr
Pusté Žibřidovice;Pusté Žibřidovice;katastr
Mělčany u Ivančic;Mělčany u Ivančic;katastr
Rudoltice u Sobotína;Rudoltice u Sobotína;katastr
Lštění nad Zubřinou;Lštění nad Zubřinou;katastr
Horákov;Horákov;katastr
Veselí u Mohelnice;Veselí u Mohelnice;katastr
Radešínská Svratka;Radešínská Svratka;katastr
Zboněk;Zboněk;katastr
Krásná Lípa;Krásná Lípa;katastr
Krásné Loučky;Krásné Loučky;katastr
Vinary u Smidar;Vinary u Smidar;katastr
Hlásná Třebaň;Hlásná Třebaň;katastr
Kadešice;Kadešice;katastr
Kozičín;Kozičín;katastr
Žehrov;Žehrov;katastr
Bzí u Dolního Bukovska;Bzí u Dolního Bukovska;katastr
Otín nad Jihlavou;Otín nad Jihlavou;katastr
Kostelní Lhota;Kostelní Lhota;katastr
Mrsklesy na Moravě;Mrsklesy na Moravě;katastr
Nejepín;Nejepín;katastr
Chotiněves;Chotiněves;katastr
Vedrovice;Vedrovice;katastr
Maršovice u Jablonce nad Nisou;Maršovice u Jablonce nad Nisou;katastr
Červený Hrádek u Bečvár;Červený Hrádek u Bečvár;katastr
Lipec u Slepotic;Lipec u Slepotic;katastr
Vyšehoří;Vyšehoří;katastr
Jaroměřice;Jaroměřice;katastr
Prašný Újezd;Prašný Újezd;katastr
Křečovice pod Troskami;Křečovice pod Troskami;katastr
Brnky;Brnky;katastr
Vlčetínec;Vlčetínec;katastr
Pernárec;Pernárec;katastr
Vlčice u Blovic;Vlčice u Blovic;katastr
Bradné;Bradné;katastr
Františkovy Lázně;Františkovy Lázně;katastr
Velká Hraštice;Velká Hraštice;katastr
Lipník;Lipník;katastr
Mažice;Mažice;katastr
Jehnědno;Jehnědno;katastr
Ohnišov;Ohnišov;katastr
Divnice;Divnice;katastr
Lipno u Hunčic;Lipno u Hunčic;katastr
Ruda nad Moravou;Ruda nad Moravou;katastr
Nový Žďár;Nový Žďár;katastr
Kyje u Hajnice;Kyje u Hajnice;katastr
Zbenice;Zbenice;katastr
Sedlíšťka;Sedlíšťka;katastr
Žiželice nad Cidlinou;Žiželice nad Cidlinou;katastr
Bělidla;Bělidla;katastr
Chodouny;Chodouny;katastr
Sejřek;Sejřek;katastr
Nový Petřín;Nový Petřín;katastr
Mouřínov;Mouřínov;katastr
Vladislav;Vladislav;katastr
Kozojídky u Vinar;Kozojídky u Vinar;katastr
Dobrá Voda u Kovářova;Dobrá Voda u Kovářova;katastr
Hoštice nad Labem;Hoštice nad Labem;katastr
Buková u Rožmitálu pod Třemšínem;Buková u Rožmitálu pod Třemšínem;katastr
Spikaly;Spikaly;katastr
Vlkovice u Mariánských Lázní;Vlkovice u Mariánských Lázní;katastr
Olbramovice u Votic;Olbramovice u Votic;katastr
Štěpánovice u Českých Budějovic;Štěpánovice u Českých Budějovic;katastr
Libichov;Libichov;katastr
Žár u Čkyně;Žár u Čkyně;katastr
Blažov;Blažov;katastr
Semeč;Semeč;katastr
Holešov;Holešov;katastr
Trusnov;Trusnov;katastr
Dolní Chobolice;Dolní Chobolice;katastr
Květín;Květín;katastr
Hajnice;Hajnice;katastr
Huzová;Huzová;katastr
Sezemice nad Loučnou;Sezemice nad Loučnou;katastr
Brumov u Lomnice;Brumov u Lomnice;katastr
Holasovice;Holasovice;katastr
České Libchavy;České Libchavy;katastr
Věcov;Věcov;katastr
Labské Chrčice;Labské Chrčice;katastr
Vodice u Lhenic;Vodice u Lhenic;katastr
Šanovice;Šanovice;katastr
Zahrádky;Zahrádky;katastr
Kváskovice;Kváskovice;katastr
Kaliště;Kaliště;katastr
Záhoří u Černošína;Záhoří u Černošína;katastr
